"","community_name","community_id","district","plate","price","age","lat","lng","building_count","house_count","url"
"1","绿洲康城亲水湾",5011000013546,"浦东","御桥",56850,-1,31.158247,121.590724,86,4003,"http://sh.lianjia.com/xiaoqu/5011000013546.html"
"2","世茂滨江花园",5011000017872,"浦东","陆家嘴",90843,7,31.227414,121.520399,29,3146,"http://sh.lianjia.com/xiaoqu/5011000017872.html"
"3","艺泰安邦",5011000012807,"浦东","宣桥",32482,3,31.067346,121.715747,152,4369,"http://sh.lianjia.com/xiaoqu/5011000012807.html"
"4","证大家园（公寓）",5011102209345,"浦东","金桥",75886,116,31.28632734,121.6028134,301,4653,"http://sh.lianjia.com/xiaoqu/5011102209345.html"
"5","仁恒河滨城",5011000017980,"浦东","联洋",102307,7,31.234586,121.57339,75,4245,"http://sh.lianjia.com/xiaoqu/5011000017980.html"
"6","绿地威廉公寓",5011000013063,"浦东","高行",61069,3,31.297808,121.619963,103,2971,"http://sh.lianjia.com/xiaoqu/5011000013063.html"
"7","绿地康桥新苑",5011000017528,"浦东","康桥",53062,12,31.144155,121.571294,216,3312,"http://sh.lianjia.com/xiaoqu/5011000017528.html"
"8","汇锦城（公寓）",5011000010599,"浦东","新场",35777,3,31.035759,121.64498,53,2267,"http://sh.lianjia.com/xiaoqu/5011000010599.html"
"9","浦发绿城",5011000013259,"浦东","三林",52817,11,31.156052,121.548636,568,7028,"http://sh.lianjia.com/xiaoqu/5011000013259.html"
"10","崮山小区",5011000013303,"浦东","洋泾",82919,15,31.245794,121.568745,260,3447,"http://sh.lianjia.com/xiaoqu/5011000013303.html"
"11","布鲁斯小镇（公寓）",5011000012453,"浦东","惠南",34003,3,31.03977874,121.7705756,83,2367,"http://sh.lianjia.com/xiaoqu/5011000012453.html"
"12","黄山新村",5011000014166,"浦东","金杨",73996,18,31.258996,121.574889,145,2129,"http://sh.lianjia.com/xiaoqu/5011000014166.html"
"13","印象春城",5011000012055,"浦东","周浦",54917,5,31.122609,121.595808,44,2808,"http://sh.lianjia.com/xiaoqu/5011000012055.html"
"14","竹园新村（浦东）",5011000015678,"浦东","源深",79699,20,31.233427,121.537868,185,3684,"http://sh.lianjia.com/xiaoqu/5011000015678.html"
"15","绿地东上海",5011000013681,"浦东","周浦",56046,116,31.132679,121.575237,81,2579,"http://sh.lianjia.com/xiaoqu/5011000013681.html"
"16","幸福小镇（公寓）",5011000017309,"浦东","高行",55803,10,31.306068,121.614341,155,2806,"http://sh.lianjia.com/xiaoqu/5011000017309.html"
"17","金杨七街坊",5011000014777,"浦东","金杨",56356,21,31.254526,121.586328,171,3131,"http://sh.lianjia.com/xiaoqu/5011000014777.html"
"18","蓝色城邦（公寓）",5011000005136,"浦东","泥城镇",26840,6,30.90673142,121.8193722,62,711,"http://sh.lianjia.com/xiaoqu/5011000005136.html"
"19","梅园三街坊",5011000015425,"浦东","源深",102142,31,31.23972158,121.5305678,117,2683,"http://sh.lianjia.com/xiaoqu/5011000015425.html"
"20","上海绿城",5011000018191,"浦东","杨东",91519,9,31.211494,121.539738,80,2649,"http://sh.lianjia.com/xiaoqu/5011000018191.html"
"21","美林小城",5011000014200,"浦东","康桥",52229,9,31.120979,121.57021,172,3120,"http://sh.lianjia.com/xiaoqu/5011000014200.html"
"22","乾耀东港",5011000001277,"浦东","泥城镇",27431,116,30.90680759,121.8137841,34,895,"http://sh.lianjia.com/xiaoqu/5011000001277.html"
"23","东方城市花园（二期）",5011000017671,"浦东","塘桥",76140,7,31.20458,121.528449,88,3656,"http://sh.lianjia.com/xiaoqu/5011000017671.html"
"24","阳光苑",5011000015532,"浦东","曹路",40043,13,31.280064,121.658155,179,2432,"http://sh.lianjia.com/xiaoqu/5011000015532.html"
"25","丽都华庭",5011000002135,"浦东","泥城镇",31791,2,30.908074,121.814097,41,971,"http://sh.lianjia.com/xiaoqu/5011000002135.html"
"26","海洲桃花园",5011000002676,"浦东","航头",41424,5,31.04671845,121.6096073,136,2222,"http://sh.lianjia.com/xiaoqu/5011000002676.html"
"27","新高苑",5011000009627,"浦东","高行",50426,4,31.29794767,121.6254204,260,4983,"http://sh.lianjia.com/xiaoqu/5011000009627.html"
"28","大华锦绣华城（十二街区）",5011000014752,"浦东","北蔡",78954,9,31.187881,121.545428,137,1965,"http://sh.lianjia.com/xiaoqu/5011000014752.html"
"29","金桥湾清水苑",5011000013188,"浦东","金桥",61666,18,31.26590419,121.5998803,237,2736,"http://sh.lianjia.com/xiaoqu/5011000013188.html"
"30","安阁苑",5011000011263,"浦东","周浦",44189,10,31.09583724,121.5969939,130,1651,"http://sh.lianjia.com/xiaoqu/5011000011263.html"
"31","万邦都市花园",5011000018309,"浦东","北蔡",78220,12,31.208476,121.562126,89,2817,"http://sh.lianjia.com/xiaoqu/5011000018309.html"
"32","牡丹小区（浦东）",5011000013142,"浦东","花木",77607,19,31.21342712,121.5520389,93,1249,"http://sh.lianjia.com/xiaoqu/5011000013142.html"
"33","汇丽苑",5011000012690,"浦东","周浦",47953,6,31.130112,121.597429,150,1920,"http://sh.lianjia.com/xiaoqu/5011000012690.html"
"34","大华锦绣华城（十六街区）（公寓）",5011000014749,"浦东","北蔡",87082,6,31.182881,121.538264,53,1362,"http://sh.lianjia.com/xiaoqu/5011000014749.html"
"35","仁恒滨江园",5011000017860,"浦东","陆家嘴",98672,13,31.236233,121.514066,45,2002,"http://sh.lianjia.com/xiaoqu/5011000017860.html"
"36","中虹家园",5011000018779,"浦东","曹路",45803,5,31.28934,121.678948,46,2637,"http://sh.lianjia.com/xiaoqu/5011000018779.html"
"37","桃林一小区",5011000005501,"浦东","源深",89305,21,31.234018,121.549623,45,614,"http://sh.lianjia.com/xiaoqu/5011000005501.html"
"38","惠南小城",5011000013962,"浦东","惠南",28892,8,31.062639,121.805988,98,1425,"http://sh.lianjia.com/xiaoqu/5011000013962.html"
"39","新舒苑",5011000011973,"浦东","书院镇",21488,9,30.98156206,121.8724799,198,2096,"http://sh.lianjia.com/xiaoqu/5011000011973.html"
"40","张江汤臣豪园（四期）",5011000010996,"浦东","张江",84947,4,31.204225,121.598745,56,1302,"http://sh.lianjia.com/xiaoqu/5011000010996.html"
"41","华高二村",5011000012924,"浦东","高行",47185,18,31.286956,121.623003,93,1365,"http://sh.lianjia.com/xiaoqu/5011000012924.html"
"42","沪南船舶小区",5011000011814,"浦东","金桥",54212,20,31.27497507,121.584107,132,1653,"http://sh.lianjia.com/xiaoqu/5011000011814.html"
"43","绿地峰汇",5011000012777,"浦东","惠南",22936,5,31.04551635,121.7562547,5,974,"http://sh.lianjia.com/xiaoqu/5011000012777.html"
"44","瑞阳苑",5011000004948,"浦东","周浦",43512,8,31.10383774,121.596204,64,1356,"http://sh.lianjia.com/xiaoqu/5011000004948.html"
"45","潍坊五村",5011000014920,"浦东","潍坊",74915,32,31.226228,121.530556,48,1104,"http://sh.lianjia.com/xiaoqu/5011000014920.html"
"46","大华锦绣华城（十九街区）（公寓）",5011000013251,"浦东","北蔡",75132,10,31.18374497,121.5487669,126,1582,"http://sh.lianjia.com/xiaoqu/5011000013251.html"
"47","金橘新苑",5011000013455,"浦东","三林",58788,10,31.15705139,121.5323446,60,2299,"http://sh.lianjia.com/xiaoqu/5011000013455.html"
"48","东升家园（三期）",5011000010267,"浦东","航头",33649,10,31.026603,121.610559,98,1665,"http://sh.lianjia.com/xiaoqu/5011000010267.html"
"49","永泰花苑",5011000010470,"浦东","三林",54504,10,31.143716,121.524177,71,3123,"http://sh.lianjia.com/xiaoqu/5011000010470.html"
"50","张江汤臣豪园（二期）",5011000015622,"浦东","张江",80827,9,31.208036,121.603671,53,1624,"http://sh.lianjia.com/xiaoqu/5011000015622.html"
"51","金桂小区",5011000014045,"浦东","花木",80670,20,31.21352868,121.5564311,74,1072,"http://sh.lianjia.com/xiaoqu/5011000014045.html"
"52","潍坊九村",5011000015069,"浦东","潍坊",90443,29,31.2270147,121.5333359,110,2386,"http://sh.lianjia.com/xiaoqu/5011000015069.html"
"53","文汇小区（浦东）",5011000014437,"浦东","北蔡",50601,20,31.17541349,121.5479974,74,1752,"http://sh.lianjia.com/xiaoqu/5011000014437.html"
"54","巨东小区",5011000012991,"浦东","洋泾",85687,22,31.242995,121.556479,64,1030,"http://sh.lianjia.com/xiaoqu/5011000012991.html"
"55","锦博苑",5011000014536,"浦东","北蔡",70606,9,31.194556,121.543113,156,1816,"http://sh.lianjia.com/xiaoqu/5011000014536.html"
"56","繁荣安居",5011000011143,"浦东","周浦",50276,4,31.1128345,121.5936763,123,1831,"http://sh.lianjia.com/xiaoqu/5011000011143.html"
